device_code,unit_code,series,location
GPE-B-806,GPE7801,HD 785,SELATAN
GPE-B-807,GPE7802,HD 785,SELATAN
GPE-B-808,GPE7803,HD 785,SELATAN
GPE-B-809,GPE7805,HD 785,SELATAN
GPE-B-811,GPE7806,HD 785,SELATAN
GPE-B-812,GPE7807,HD 785,SELATAN
GPE-B-813,GPE7808,HD 785,SELATAN
GPE-B-815,GPE7809,HD 785,SELATAN
GPE-B-816,GPE7810,HD 785,SELATAN
GPE-B-818,GPE7811,HD 785,SELATAN
GPE-B-819,GPE7812,HD 785,SELATAN
GPE-B-820,GPE7813,HD 785,SELATAN
GPE-B-821,GPE7815,HD 785,SELATAN
GPE-B-822,GPE7816,HD 785,SELATAN
GPE-B-825,GPE7817,HD 785,SELATAN
GPE-B-826,GPE7818,HD 785,SELATAN
GPE-B-827,GPE7819,HD 785,SELATAN
GPE-B-828,GPE7820,HD 785,SELATAN
GPE-B-829,GPE7301,OHT 773,SELATAN
GPE-B-830,GPE7302,OHT 773,SELATAN
GPE-B-831,GPE7303,OHT 773,SELATAN
GPE-B-832,GPE7305,OHT 773,SELATAN
GPE-B-833,GPE7306,OHT 773,SELATAN
GPE-B-835,GPE7307,OHT 773,SELATAN
GPE-B-836,GPE7308,OHT 773,SELATAN
GPE-B-837,GPE7309,OHT 773,SELATAN
GPE-B-838,GPE7310,OHT 773,SELATAN
GPE-B-839,GPE7311,OHT 773,SELATAN
GPE-B-856,GPE7312,OHT 773,SELATAN
GPE-B-857,GPE7313,OHT 773,SELATAN
GPE-B-860,GPE802,HD 465,SELATAN
GPE-B-866,GPE803,HD 465,SELATAN
GPE-B-867,GPE805,HD 465,SELATAN
GPE-B-871,GPE806,HD 465,SELATAN
GPE-B-873,GPE807,HD 465,SELATAN
GPE-B-876,GPE810,HD 465,SELATAN
GPE-B-877,GPE812,HD 465,SELATAN
GPE-B-878,GPE813,HD 465,SELATAN
GPE-B-879,GPE815,HD 465,SELATAN
GPE-B-880,GPE816,HD 465,SELATAN
GPE-B-881,GPE817,HD 465,SELATAN
GPE-B-882,GPE819,HD 465,SELATAN
GPE-B-883,GPE820,HD 465,SELATAN
GPE-B-885,GPE821,HD 465,SELATAN
GPE-B-886,GPE822,HD 465,SELATAN
GPE-B-887,GPE823,HD 465,SELATAN
GPE-DT-1000,GPE825,VOLVO,SELATAN
GPE-DT-1001,GPE826,VOLVO,SELATAN
GPE-DT-1002,GPE827,VOLVO,SELATAN
GPE-DT-1003,GPE828,VOLVO,SELATAN
GPE-DT-1005,GPE829,VOLVO,SELATAN
GPE-DT-1006,GPE830,VOLVO,SELATAN
GPE-DT-1007,GPE831,VOLVO,SELATAN
GPE-DT-1008,GPE832,VOLVO,SELATAN
GPE-DT-1009,GPE833,HD 465,SELATAN
GPE-DT-1010,GPE835,HD 465,SELATAN
GPE-DT-1011,GPE836,HD 465,SELATAN
GPE-DT-1012,GPE837,HD 465,SELATAN
GPE-DT-1013,GPE838,HD 465,SELATAN
GPE-DT-1015,GPE839,HD 465,SELATAN
GPE-DT-1016,GPE840,HD 465,SELATAN
GPE-DT-1017,GPE841,HD 465,SELATAN
GPE-DT-1018,GPE842,HD 465,SELATAN
GPE-DT-1019,GPE843,HD 465,SELATAN
GPE-DT-1020,GPE845,HD 465,SELATAN
GPE-DT-1021,GPE701,HD 465,JO SELATAN
GPE-DT-1022,GPE702,HD 465,JO SELATAN
GPE-DT-1023,GPE703,HD 465,JO SELATAN
GPE-DT-1025,GPE705,HD 465,JO SELATAN
GPE-DT-1026,GPE706,HD 465,JO SELATAN
GPE-DT-1027,GPE707,HD 465,JO SELATAN
GPE-DT-1028,GPE708,HD 465,SELATAN
GPE-DT-1029,GPE709,HD 465,JO SELATAN
GPE-DT-1030,GPE710,HD 465,JO SELATAN
GPE-DT-1031,GPE711,HD 465,SELATAN
GPE-DT-1032,GPE712,HD 465,SELATAN
GPE-DT-1033,GPE713,HD 465,SELATAN
GPE-DT-1036,GPE715,HD 465,SELATAN
GPE-DT-1038,GPE716,HD 465,SELATAN
GPE-DT-1039,GPE717,HD 465,SELATAN
GPE-DT-1050,GPE718,HD 465,SELATAN
GPE-DT-1051,GPE719,HD 465,JO SELATAN
GPE-DT-1052,GPE720,HD 465,SELATAN
GPE-DT-1055,GPE721,HD 465,SELATAN
GPE-DT-1057,GPE722,HD 465,SELATAN
GPE-DT-1059,GPE723,HD 465,SELATAN
GPE-DT-1060,GPE725,HD 465,SELATAN
GPE-DT-1061,GPE726,HD 465,SELATAN
GPE-DT-1062,GPE727,HD 465,SELATAN
GPE-DT-1063,GPE728,HD 465,SELATAN
GPE-DT-1065,GPE729,HD 465,SELATAN
GPE-DT-1066,GPE730,HD 465,SELATAN
GPE-DT-1068,GPE731,HD 465,SELATAN
GPE-DT-1069,GPE732,HD 465,SELATAN
GPE-DT-1070,GPE733,HD 465,SELATAN
GPE-DT-1071,GPE735,HD 465,SELATAN
GPE-DT-1072,GPE736,HD 465,SELATAN
GPE-DT-1073,GPE737,HD 465,SELATAN
GPE-DT-1075,GPE738,HD 465,JO SELATAN
GPE-DT-1076,GPE739,HD 465,JO SELATAN
GPE-DT-1077,GPE750,HD 465,JO SELATAN
GPE-DT-1078,GPE751,HD 465,JO SELATAN
GPE-DT-1079,GPE752,HD 465,JO SELATAN
GPE-DT-1080,GPE753,HD 465,JO SELATAN
GPE-DT-1081,GPE755,HD 465,JO SELATAN
GPE-DT-1082,GPE756,HD 465,JO SELATAN
GPE-DT-1083,GPE757,HD 465,JO SELATAN
GPE-DT-1085,GPE758,HD 465,JO SELATAN
GPE-DT-1088,GPE759,HD 465,JO SELATAN
GPE-DT-1089,GPE760,HD 465,JO SELATAN
GPE-DT-1093,GPE761,HD 465,JO SELATAN
GPE-DT-1095,GPE762,HD 465,JO SELATAN
GPE-DT-1096,GPE763,HD 465,JO SELATAN
GPE-DT-1097,GPE765,HD 465,JO SELATAN
GPE-DT-1098,GPE766,HD 465,JO SELATAN
GPE-DT-1100,GPE767,HD 465,JO SELATAN
GPE-DT-1102,GPE768,HD 465,JO SELATAN
GPE-DT-1103,GPE769,HD 465,JO SELATAN
GPE-DT-1105,GPE770,HD 465,JO SELATAN
GPE-DT-1106,GPE771,HD 465,JO SELATAN
GPE-DT-1108,GPE772,HD 465,JO SELATAN
GPE-DT-1109,GPE773,HD 465,JO SELATAN
GPE-DT-1112,GPE775,HD 465,JO SELATAN
GPE-DT-1113,GPE776,HD 465,JO SELATAN
GPE-DT-1125,GPE777,HD 465,JO SELATAN
GPE-DT-1126,GPE778,HD 465,JO SELATAN
GPE-DT-1127,GPE779,HD 465,JO SELATAN
GPE-DT-1128,GPE780,HD 465,JO SELATAN
GPE-DT-1129,GPE781,HD 465,JO SELATAN
GPE-DT-1130,GPE782,HD 465,JO SELATAN
GPE-DT-1131,GPE783,HD 465,JO SELATAN
GPE-DT-1132,GPE785,HD 465,JO SELATAN
GPE-DT-1133,GPE786,HD 465,JO SELATAN
GPE-DT-1135,GPE787,HD 465,JO SELATAN
GPE-DT-1136,GPE788,HD 465,JO SELATAN
GPE-DT-1137,GPE789,HD 465,JO SELATAN
GPE-DT-1138,GPE790,HD 465,JO SELATAN
GPE-DT-1139,GPE791,HD 465,JO SELATAN
GPE-DT-1150,GPE792,HD 465,JO SELATAN
GPE-DT-1151,GPE793,HD 465,JO SELATAN
GPE-DT-1152,GPE795,HD 465,JO SELATAN
GPE-DT-1153,GPE796,HD 465,JO SELATAN
GPE-DT-1155,GPE797,HD 465,JO SELATAN
GPE-DT-1156,GPE798,HD 465,SELATAN
GPE-DT-1157,GPE799,HD 465,SELATAN
GPE-DT-1158,GPE800,HD 465,SELATAN
GPE-DT-1159,GPE850,HD 465,SELATAN
