device_name,unit_code,location,series
GPE-B-806,,,
GPE-B-807,,,
GPE-B-808,,,
GPE-B-809,,,
GPE-B-811,,,
GPE-B-812,,,
GPE-B-813,,,
GPE-B-815,,,
GPE-B-816,,,
GPE-B-818,,,
GPE-B-819,,,
GPE-B-820,,,
GPE-B-821,,,
GPE-B-822,,,
GPE-B-825,,,
GPE-B-826,,,
GPE-B-827,,,
GPE-B-828,,,
GPE-B-829,,,
GPE-B-830,,,
GPE-B-831,,,
GPE-B-832,,,
GPE-B-833,,,
GPE-B-835,,,
GPE-B-836,,,
GPE-B-837,,,
GPE-B-838,,,
GPE-B-839,,,
GPE-B-856,,,
GPE-B-857,,,
GPE-B-860,,,
GPE-B-866,,,
GPE-B-867,,,
GPE-B-871,,,
GPE-B-873,,,
GPE-B-876,,,
GPE-B-877,,,
GPE-B-878,,,
GPE-B-879,,,
GPE-B-880,,,
GPE-B-881,,,
GPE-B-882,,,
GPE-B-883,,,
GPE-B-885,,,
GPE-B-886,,,
GPE-B-887,,,
GPE-DT-1000,GPE1000,M.SERVICE,DT BARU FMX 400
GPE-DT-1001,GPE1001,M.SERVICE,DT BARU FMX 400
GPE-DT-1002,GPE1002,M.SERVICE,DT BARU FMX 400
GPE-DT-1003,GPE1003,M.SERVICE,DT BARU FMX 400
GPE-DT-1005,GPE1005,M.SERVICE,DT BARU FMX 400
GPE-DT-1006,GPE1006,M.SERVICE,DT BARU FMX 400
GPE-DT-1007,GPE1007,M.SERVICE,DT BARU FMX 400
GPE-DT-1008,GPE1008,M.SERVICE,DT BARU FMX 400
GPE-DT-1009,GPE1009,MUD UTARA,DT BARU FMX 400
GPE-DT-1010,GPE1010,MUD UTARA,DT BARU FMX 400
GPE-DT-1011,GPE1011,UTARA,DT BARU FMX 400
GPE-DT-1012,GPE1012,UTARA,DT BARU FMX 400
GPE-DT-1013,GPE1013,STB_SITE,DT BARU FMX 400
GPE-DT-1015,GPE1015,STB_SITE,DT BARU FMX 400
GPE-DT-1016,GPE1016,STB_SITE,DT BARU FMX 400
GPE-DT-1017,GPE1017,MUD UTARA,DT BARU FMX 400
GPE-DT-1018,GPE1018,MUD UTARA,DT BARU FMX 400
GPE-DT-1019,GPE1019,STB_SITE,DT BARU FMX 400
GPE-DT-1020,GPE1020,MUD UTARA,DT BARU FMX 400
GPE-DT-1021,GPE1021,UTARA,DT BARU FMX 400
GPE-DT-1022,GPE1022,SELATAN,DT BARU FMX 400
GPE-DT-1023,GPE1023,SELATAN,DT BARU FMX 400
GPE-DT-1025,GPE1025,UTARA,DT BARU FMX 400
GPE-DT-1026,GPE1026,SELATAN,DT BARU FMX 400
GPE-DT-1027,GPE1027,SELATAN,DT BARU FMX 400
GPE-DT-1028,GPE1028,UTARA,DT BARU FMX 400
GPE-DT-1029,GPE1029,SELATAN,DT BARU FMX 400
GPE-DT-1030,GPE1030,UTARA,DT BARU FMX 400
GPE-DT-1031,GPE1031,UTARA,DT BARU FMX 400
GPE-DT-1032,GPE1032,UTARA,DT BARU FMX 400
GPE-DT-1033,GPE1033,JO SELATAN,DT BARU FMX 400
GPE-DT-1036,GPE1036,JO SELATAN,DT BARU FMX 400
GPE-DT-1038,GPE1038,UTARA,DT BARU FMX 400
GPE-DT-1039,GPE1039,JO SELATAN,DT BARU FMX 400
GPE-DT-1050,GPE1050,SELATAN,DT BARU FMX 400
GPE-DT-1051,GPE1051,UTARA,DT BARU FMX 400
GPE-DT-1052,GPE1052,UTARA,DT BARU FMX 400
GPE-DT-1055,GPE1055,UTARA,DT BARU FMX 400
GPE-DT-1057,GPE1057,UTARA,DT BARU FMX 400
GPE-DT-1059,GPE1059,JO SELATAN,DT BARU FMX 400
GPE-DT-1060,GPE1060,UTARA,DT BARU FMX 400
GPE-DT-1061,GPE1061,UTARA,DT BARU FMX 400
GPE-DT-1062,GPE1062,UTARA,DT BARU FMX 400
GPE-DT-1063,GPE1063,SELATAN,DT BARU FMX 400
GPE-DT-1065,GPE1065,UTARA,DT BARU FMX 400
GPE-DT-1066,GPE1066,UTARA,DT BARU FMX 400
GPE-DT-1068,GPE1068,JO SELATAN,DT BARU FMX 400
GPE-DT-1069,GPE1069,UTARA,DT BARU FMX 400
GPE-DT-1070,GPE1070,UTARA,DT BARU FMX 400
GPE-DT-1071,GPE1071,UTARA,DT BARU FMX 400
GPE-DT-1072,GPE1072,JO SELATAN,DT BARU FMX 400
GPE-DT-1073,GPE1073,UTARA,DT BARU FMX 400
GPE-DT-1075,GPE1075,JO SELATAN,DT BARU FMX 400
GPE-DT-1076,GPE1076,UTARA,DT BARU FMX 400
GPE-DT-1077,GPE1077,UTARA,DT BARU FMX 400
GPE-DT-1078,GPE1078,UTARA,DT BARU FMX 400
GPE-DT-1079,GPE1079,UTARA,DT BARU FMX 400
GPE-DT-1080,GPE1080,UTARA,DT BARU FMX 400
GPE-DT-1081,GPE1081,UTARA,DT BARU FMX 400
GPE-DT-1082,GPE1082,UTARA,DT BARU FMX 400
GPE-DT-1083,GPE1083,UTARA,DT BARU FMX 400
GPE-DT-1085,GPE1085,UTARA,DT BARU FMX 400
GPE-DT-1088,GPE1088,UTARA,DT BARU FMX 400
GPE-DT-1089,GPE1089,UTARA,DT BARU FMX 400
GPE-DT-1093,GPE1093,UTARA,DT BARU FMX 400
GPE-DT-1095,GPE1095,UTARA,DT BARU FMX 400
GPE-DT-1096,GPE1096,UTARA,DT BARU FMX 400
GPE-DT-1097,GPE1097,STB_SITE,DT BARU FMX 400
GPE-DT-1098,GPE1098,UTARA,DT BARU FMX 400
GPE-DT-1100,GPE1100,UTARA,DT BARU FMX 400
GPE-DT-1102,GPE1102,UTARA,DT BARU FMX 400
GPE-DT-1103,GPE1103,UTARA,DT BARU FMX 400
GPE-DT-1105,GPE1105,UTARA,DT BARU FMX 400
GPE-DT-1106,GPE1106,UTARA,DT BARU FMX 400
GPE-DT-1108,GPE1108,UTARA,DT BARU FMX 400
GPE-DT-1109,GPE1109,UTARA,DT BARU FMX 400
GPE-DT-1112,GPE1112,UTARA,DT BARU FMX 400
GPE-DT-1113,GPE1113,UTARA,DT BARU FMX 400
GPE-DT-1125,GPE1125,UTARA,DT BARU FMX 400
GPE-DT-1126,GPE1126,UTARA,DT BARU FMX 400
GPE-DT-1127,GPE1127,UTARA,DT BARU FMX 400
GPE-DT-1128,GPE1128,UTARA,DT BARU FMX 400
GPE-DT-1129,GPE1129,UTARA,DT BARU FMX 400
GPE-DT-1130,GPE1130,UTARA,DT BARU FMX 400
GPE-DT-1131,GPE1131,UTARA,DT BARU FMX 400
GPE-DT-1132,GPE1132,UTARA,DT BARU FMX 400
GPE-DT-1133,GPE1133,UTARA,DT BARU FMX 400
GPE-DT-1135,GPE1135,UTARA,DT BARU FMX 400
GPE-DT-1136,GPE1136,UTARA,DT BARU FMX 400
GPE-DT-1137,GPE1137,UTARA,DT BARU FMX 400
GPE-DT-1138,GPE1138,UTARA,DT BARU FMX 400
GPE-DT-1139,GPE1139,UTARA,DT BARU FMX 400
GPE-DT-1150,GPE1150,UTARA,DT BARU FMX 400
GPE-DT-1151,GPE1151,UTARA,DT BARU FMX 400
GPE-DT-1152,GPE1152,UTARA,DT BARU FMX 400
GPE-DT-1153,GPE1153,UTARA,DT BARU FMX 400
GPE-DT-1155,GPE1155,UTARA,DT BARU FMX 420
GPE-DT-1156,GPE1156,UTARA,DT BARU FMX 420
GPE-DT-1157,GPE1157,UTARA,DT BARU FMX 420
GPE-DT-1158,GPE1158,UTARA,DT BARU FMX 420
GPE-DT-1159,GPE1159,UTARA,DT BARU FMX 420
GPE-DT-1160,GPE1160,UTARA,DT BARU FMX 420
GPE-DT-1161,GPE1161,UTARA,DT BARU FMX 420
GPE-DT-1162,GPE1162,UTARA,DT BARU FMX 420
GPE-DT-1163,GPE1163,UTARA,DT BARU FMX 420
GPE-DT-1165,GPE1165,UTARA,DT BARU FMX 420
GPE-DT-1166,GPE1166,UTARA,DT BARU FMX 420
GPE-DT-1167,GPE1167,UTARA,DT BARU FMX 420
GPE-DT-1168,GPE1168,UTARA,DT BARU FMX 420
GPE-DT-1169,GPE1169,UTARA,DT BARU FMX 420
GPE-DT-1170,GPE1170,UTARA,DT BARU FMX 420
GPE-DT-1171,GPE1171,UTARA,DT BARU FMX 420
GPE-DT-1172,GPE1172,UTARA,DT BARU FMX 420
GPE-DT-1173,GPE1173,UTARA,DT BARU FMX 420
GPE-DT-1175,GPE1175,UTARA,DT BARU FMX 420
GPE-DT-1176,GPE1176,UTARA,DT BARU FMX 420
